n,instance,distribution,opt_value,opt_type,timestamp,christofides_cost,christofides_time,christofides_ratio,2opt_cost,2opt_time,2opt_ratio,2opt_iterations,hybrid_cost,hybrid_time,hybrid_ratio,hybrid_iterations,lp_objective,lp_time,lp_status
5,0,uniform,227.34551867849092,LP_subtour,2025-12-02T00:54:15.777290,227.34551867849092,0.0014438629150390625,1.0,227.34551867849092,2.956390380859375e-05,1.0,2,227.34551867849092,0.0014522075653076172,1.0,1,227.34551867849092,0.0033016204833984375,Optimal
5,1,uniform,262.4953496563628,LP_subtour,2025-12-02T00:54:15.785641,262.4953496563628,0.0004627704620361328,1.0,262.4953496563628,2.9325485229492188e-05,1.0,3,262.4953496563628,0.00046944618225097656,1.0,1,262.4953496563628,0.003305673599243164,Optimal
5,2,uniform,174.5446718861441,LP_subtour,2025-12-02T00:54:15.792999,178.57094154222273,0.00035572052001953125,1.0230672733379393,174.54467188614413,1.5020370483398438e-05,1.0000000000000002,1,174.54467188614413,0.0003695487976074219,1.0000000000000002,2,174.5446718861441,0.0023736953735351562,Optimal
5,3,uniform,285.1098608886164,LP_subtour,2025-12-02T00:54:15.799294,319.2185847895487,0.00044417381286621094,1.1196336170016143,285.1098608886164,1.5974044799804688e-05,1.0,1,285.1098608886164,0.00045800209045410156,1.0,2,285.1098608886164,0.0029897689819335938,Optimal
5,4,uniform,184.4197778474873,LP_subtour,2025-12-02T00:54:15.806375,184.41977784748732,0.0003917217254638672,1.0000000000000002,184.41977784748732,2.2649765014648438e-05,1.0000000000000002,2,184.41977784748732,0.00039839744567871094,1.0000000000000002,1,184.4197778474873,0.003441333770751953,Optimal
5,5,uniform,247.00778875107355,LP_subtour,2025-12-02T00:54:15.813506,247.00778875107352,0.0003638267517089844,0.9999999999999999,247.00778875107355,1.5974044799804688e-05,1.0,1,247.00778875107352,0.00037097930908203125,0.9999999999999999,1,247.00778875107355,0.003705263137817383,Optimal
5,6,uniform,221.4127433244821,LP_subtour,2025-12-02T00:54:15.822018,221.4127433244821,0.00042819976806640625,1.0,221.4127433244821,1.9073486328125e-05,1.0,1,221.4127433244821,0.0004372596740722656,1.0,1,221.4127433244821,0.0034132003784179688,Optimal
5,7,uniform,256.41248503360856,LP_subtour,2025-12-02T00:54:15.831050,256.4124850336085,0.0008518695831298828,0.9999999999999998,256.4124850336085,3.457069396972656e-05,0.9999999999999998,2,256.4124850336085,0.0008623600006103516,0.9999999999999998,1,256.41248503360856,0.0041735172271728516,Optimal
5,8,uniform,176.22382561556077,LP_subtour,2025-12-02T00:54:15.841402,176.22382561556077,0.0005633831024169922,1.0,176.22382561556077,4.6253204345703125e-05,1.0,3,176.22382561556077,0.0005743503570556641,1.0,1,176.22382561556077,0.004756927490234375,Optimal
5,9,uniform,218.79405824342223,LP_subtour,2025-12-02T00:54:15.851285,223.24552681665483,0.0005035400390625,1.0203454728568546,218.79405824342226,2.765655517578125e-05,1.0000000000000002,2,218.79405824342223,0.0005192756652832031,1.0,2,218.79405824342223,0.003192901611328125,Optimal
5,0,clustered,214.3545789304743,LP_subtour,2025-12-02T00:54:15.860067,214.3545789304743,0.0004096031188964844,1.0,214.3545789304743,2.765655517578125e-05,1.0,2,214.3545789304743,0.0004181861877441406,1.0,1,214.3545789304743,0.004159450531005859,Optimal
5,1,clustered,265.47009869499294,LP_subtour,2025-12-02T00:54:15.869367,265.47009869499294,0.0006170272827148438,1.0,265.47009869499294,2.8848648071289062e-05,1.0,1,265.47009869499294,0.0006310939788818359,1.0,1,265.47009869499294,0.00487971305847168,Optimal
5,2,clustered,104.66749700634969,LP_subtour,2025-12-02T00:54:15.880420,104.66749700634969,0.0005180835723876953,1.0,104.66749700634969,1.6927719116210938e-05,1.0,1,104.66749700634969,0.0005254745483398438,1.0,1,104.66749700634969,0.0033216476440429688,Optimal
5,3,clustered,79.8150865036097,LP_subtour,2025-12-02T00:54:15.887635,81.34569865210477,0.0003383159637451172,1.019176977881567,80.98980337353973,1.3589859008789062e-05,1.0147179802890636,1,79.81508650360972,0.0003509521484375,1.0000000000000002,2,79.8150865036097,0.003552675247192383,Optimal
5,4,clustered,176.81357520584208,LP_subtour,2025-12-02T00:54:15.895207,176.8135752058421,0.00027942657470703125,1.0000000000000002,176.81357520584208,8.106231689453125e-06,1.0,1,176.8135752058421,0.00028252601623535156,1.0000000000000002,1,176.81357520584208,0.0022618770599365234,Optimal
5,5,clustered,252.73567342862694,LP_subtour,2025-12-02T00:54:15.900588,252.73567342862694,0.0003123283386230469,1.0,252.7356734286269,1.9073486328125e-05,0.9999999999999999,2,252.73567342862694,0.0003185272216796875,1.0,1,252.73567342862694,0.0024886131286621094,Optimal
5,6,clustered,62.1524306937865,LP_subtour,2025-12-02T00:54:15.905997,62.1524306937865,0.0002727508544921875,1.0,62.1524306937865,8.344650268554688e-06,1.0,1,62.1524306937865,0.0002758502960205078,1.0,1,62.1524306937865,0.0029184818267822266,Optimal
5,7,clustered,231.6580640569013,LP_subtour,2025-12-02T00:54:15.912683,231.6580640569013,0.00034165382385253906,1.0,231.65806405690128,1.430511474609375e-05,0.9999999999999999,1,231.6580640569013,0.0003483295440673828,1.0,1,231.6580640569013,0.002307891845703125,Optimal
5,8,clustered,223.5482032089025,LP_subtour,2025-12-02T00:54:15.918202,223.5482032089025,0.0003414154052734375,1.0,223.54820320890246,2.47955322265625e-05,0.9999999999999999,2,223.5482032089025,0.0003478527069091797,1.0,1,223.5482032089025,0.0029783248901367188,Optimal
