n,instance,distribution,opt_value,opt_type,timestamp,christofides_cost,christofides_time,christofides_ratio,2opt_cost,2opt_time,2opt_ratio,2opt_iterations,hybrid_cost,hybrid_time,hybrid_ratio,hybrid_iterations,lp_objective,lp_time,lp_status
5,0,uniform,227.34551867849092,LP_subtour,2025-12-01T23:38:29.862203,227.34551867849092,0.0011181831359863281,1.0,227.34551867849092,2.3126602172851562e-05,1.0,2,227.34551867849092,0.0011246204376220703,1.0,1,227.34551867849092,0.0027348995208740234,Optimal
5,1,uniform,262.4953496563628,LP_subtour,2025-12-01T23:38:29.869234,262.4953496563628,0.0003540515899658203,1.0,262.4953496563628,2.193450927734375e-05,1.0,3,262.4953496563628,0.0003592967987060547,1.0,1,262.4953496563628,0.0022804737091064453,Optimal
5,2,uniform,174.5446718861441,LP_subtour,2025-12-01T23:38:29.874622,178.57094154222273,0.0003077983856201172,1.0230672733379393,174.54467188614413,1.2636184692382812e-05,1.0000000000000002,1,174.54467188614413,0.0003190040588378906,1.0000000000000002,2,174.5446718861441,0.0037910938262939453,Optimal
5,3,uniform,285.1098608886164,LP_subtour,2025-12-01T23:38:29.883994,319.2185847895487,0.0006821155548095703,1.1196336170016143,285.1098608886164,2.0503997802734375e-05,1.0,1,285.1098608886164,0.0007016658782958984,1.0,2,285.1098608886164,0.0040547847747802734,Optimal
5,4,uniform,184.4197778474873,LP_subtour,2025-12-01T23:38:29.893371,184.41977784748732,0.0006005764007568359,1.0000000000000002,184.41977784748732,3.123283386230469e-05,1.0000000000000002,2,184.41977784748732,0.0006101131439208984,1.0000000000000002,1,184.4197778474873,0.003548860549926758,Optimal
5,5,uniform,247.00778875107355,LP_subtour,2025-12-01T23:38:29.902002,247.00778875107352,0.0005819797515869141,0.9999999999999999,247.00778875107355,2.8133392333984375e-05,1.0,1,247.00778875107352,0.0005908012390136719,0.9999999999999999,1,247.00778875107355,0.0033600330352783203,Optimal
5,6,uniform,221.4127433244821,LP_subtour,2025-12-01T23:38:29.909173,221.4127433244821,0.00030493736267089844,1.0,221.4127433244821,1.33514404296875e-05,1.0,1,221.4127433244821,0.0003104209899902344,1.0,1,221.4127433244821,0.0034418106079101562,Optimal
5,7,uniform,256.41248503360856,LP_subtour,2025-12-01T23:38:29.917570,256.4124850336085,0.0005717277526855469,0.9999999999999998,256.4124850336085,2.0265579223632812e-05,0.9999999999999998,2,256.4124850336085,0.0005784034729003906,0.9999999999999998,1,256.41248503360856,0.003652334213256836,Optimal
5,8,uniform,176.22382561556077,LP_subtour,2025-12-01T23:38:29.925299,176.22382561556077,0.00029969215393066406,1.0,176.22382561556077,2.3126602172851562e-05,1.0,3,176.22382561556077,0.00030493736267089844,1.0,1,176.22382561556077,0.0027413368225097656,Optimal
5,9,uniform,218.79405824342223,LP_subtour,2025-12-01T23:38:29.931661,223.24552681665483,0.00032591819763183594,1.0203454728568546,218.79405824342226,1.811981201171875e-05,1.0000000000000002,2,218.79405824342223,0.00033593177795410156,1.0,2,218.79405824342223,0.003184795379638672,Optimal
5,0,clustered,214.3545789304743,LP_subtour,2025-12-01T23:38:29.938711,214.3545789304743,0.0002856254577636719,1.0,214.3545789304743,1.8358230590820312e-05,1.0,2,214.3545789304743,0.0002911090850830078,1.0,1,214.3545789304743,0.002706289291381836,Optimal
5,1,clustered,265.47009869499294,LP_subtour,2025-12-01T23:38:29.944742,265.47009869499294,0.000293731689453125,1.0,265.47009869499294,1.1920928955078125e-05,1.0,1,265.47009869499294,0.0002994537353515625,1.0,1,265.47009869499294,0.003190279006958008,Optimal
5,2,clustered,104.66749700634969,LP_subtour,2025-12-01T23:38:29.951206,104.66749700634969,0.0002467632293701172,1.0,104.66749700634969,8.106231689453125e-06,1.0,1,104.66749700634969,0.00024962425231933594,1.0,1,104.66749700634969,0.002695798873901367,Optimal
5,3,clustered,79.8150865036097,LP_subtour,2025-12-01T23:38:29.958048,81.34569865210477,0.0003631114959716797,1.019176977881567,80.98980337353973,1.7642974853515625e-05,1.0147179802890636,1,79.81508650360972,0.00037980079650878906,1.0000000000000002,2,79.8150865036097,0.004102230072021484,Optimal
5,4,clustered,176.81357520584208,LP_subtour,2025-12-01T23:38:29.966840,176.8135752058421,0.00037288665771484375,1.0000000000000002,176.81357520584208,1.3113021850585938e-05,1.0,1,176.8135752058421,0.00037789344787597656,1.0000000000000002,1,176.81357520584208,0.0036439895629882812,Optimal
5,5,clustered,252.73567342862694,LP_subtour,2025-12-01T23:38:29.976270,252.73567342862694,0.0007398128509521484,1.0,252.7356734286269,4.792213439941406e-05,0.9999999999999999,2,252.73567342862694,0.0007541179656982422,1.0,1,252.73567342862694,0.0069849491119384766,Optimal
5,6,clustered,62.1524306937865,LP_subtour,2025-12-01T23:38:29.990851,62.1524306937865,0.0006008148193359375,1.0,62.1524306937865,2.4318695068359375e-05,1.0,1,62.1524306937865,0.0006082057952880859,1.0,1,62.1524306937865,0.004683971405029297,Optimal
5,7,clustered,231.6580640569013,LP_subtour,2025-12-01T23:38:30.001675,231.6580640569013,0.0013117790222167969,1.0,231.65806405690128,3.24249267578125e-05,0.9999999999999999,1,231.6580640569013,0.0013277530670166016,1.0,1,231.6580640569013,0.005682229995727539,Optimal
5,8,clustered,223.5482032089025,LP_subtour,2025-12-01T23:38:30.017199,223.5482032089025,0.0009953975677490234,1.0,223.54820320890246,6.461143493652344e-05,0.9999999999999999,2,223.5482032089025,0.0010170936584472656,1.0,1,223.5482032089025,0.008714914321899414,Optimal
