n,mode,time,ratio
50,Greedy_Baseline,0.0007004737854003906,1.326100022539075
50,Hybrid_Full,0.005382294999435544,1.1117808785941115
50,Hybrid_NoLS,0.005476365971844643,1.341204037496382
50,Hybrid_Trials20,0.006308398966211826,1.0987010433960642
50,Hybrid_LP_Skip,0.0005067940219305456,1.8811522471979008
50,Hybrid_PD_Fast,0.000339021033141762,1.0330393733981735
50,Hybrid_PD_Balanced,0.0006916260463185608,1.0330393733981735
50,Greedy_Baseline,0.0005078315734863281,1.1904917060970364
50,Hybrid_Full,0.0037511640111915767,1.1073022611072412
50,Hybrid_NoLS,0.004084810963831842,1.1942745240493369
50,Hybrid_Trials20,0.005355117958970368,1.135234282282444
50,Hybrid_LP_Skip,0.0005543919978663325,1.937664525357016
50,Hybrid_PD_Fast,0.0004111190210096538,1.1695763103292103
50,Hybrid_PD_Balanced,0.0009116510045714676,1.0616438756465774
50,Greedy_Baseline,0.0007390975952148438,1.1159874376834211
50,Hybrid_Full,0.004294230020605028,1.0547737440320542
50,Hybrid_NoLS,0.004271033976692706,1.0547737440320542
50,Hybrid_Trials20,0.004714599985163659,1.0547737440320542
50,Hybrid_LP_Skip,0.0004617910017259419,2.081574857281591
50,Hybrid_PD_Fast,0.0002961819991469383,1.1328633854330534
50,Hybrid_PD_Balanced,0.0006747659645043314,1.0547737440320542
50,Greedy_Baseline,0.0006835460662841797,1.3004902779838405
50,Hybrid_Full,0.005628840997815132,1.2097462219144344
50,Hybrid_NoLS,0.005678132001776248,1.2288144529701324
50,Hybrid_Trials20,0.006496615009382367,1.2224398010830846
50,Hybrid_LP_Skip,0.00044942100066691637,1.7240157040035107
50,Hybrid_PD_Fast,0.0002959069679491222,1.2727825591375415
50,Hybrid_PD_Balanced,0.0007189930183812976,1.2097462219144344
50,Greedy_Baseline,0.0004799365997314453,1.1865700898357256
50,Hybrid_Full,0.0036367689608596265,1.126496396508213
50,Hybrid_NoLS,0.004496294015552849,1.12162897605916
50,Hybrid_Trials20,0.004782259988132864,1.12162897605916
50,Hybrid_LP_Skip,0.0004276199615560472,2.094852971456206
50,Hybrid_PD_Fast,0.0003291610046289861,1.5739758251469393
50,Hybrid_PD_Balanced,0.0007888840045779943,1.087967346203149
50,Greedy_Baseline,0.0004475116729736328,1.145322727980808
50,Hybrid_Full,0.0036383449914865196,1.140177195090524
50,Hybrid_NoLS,0.00351791299181059,1.134422244164606
50,Hybrid_Trials20,0.00478187802946195,1.140177195090524
50,Hybrid_LP_Skip,0.000532934966031462,2.3640981299786055
50,Hybrid_PD_Fast,0.0003415779792703688,1.332405992472605
50,Hybrid_PD_Balanced,0.0007952370215207338,1.140177195090524
50,Greedy_Baseline,0.0004878044128417969,1.2792898221410602
50,Hybrid_Full,0.0038121630204841495,1.104074444514784
50,Hybrid_NoLS,0.0036914219963364303,1.1256054714814163
50,Hybrid_Trials20,0.005161116016097367,1.080060973981649
50,Hybrid_LP_Skip,0.0005478960229083896,1.8782696948284143
50,Hybrid_PD_Fast,0.0003066750359721482,1.2821452322294593
50,Hybrid_PD_Balanced,0.0006527819787152112,1.0772055638932498
50,Greedy_Baseline,0.0005316734313964844,1.144473617620526
50,Hybrid_Full,0.004012259014416486,1.104924683288934
50,Hybrid_NoLS,0.0040170770371332765,1.1360080864469382
50,Hybrid_Trials20,0.00556301895994693,1.104924683288934
50,Hybrid_LP_Skip,0.0005935800145380199,1.959246131561647
50,Hybrid_PD_Fast,0.0003782679559662938,1.4037305886629825
50,Hybrid_PD_Balanced,0.0008022059919312596,1.104924683288934
50,Greedy_Baseline,0.0004668235778808594,1.2422778478082392
50,Hybrid_Full,0.0035702589666470885,1.1085757182238398
50,Hybrid_NoLS,0.0035510240122675896,1.168998701344562
50,Hybrid_Trials20,0.004848475975450128,1.1431725466900624
50,Hybrid_LP_Skip,0.0006284699775278568,2.0275168487167647
50,Hybrid_PD_Fast,0.00034438096918165684,1.1431725466900624
50,Hybrid_PD_Balanced,0.0009048250503838062,1.1058457386519633
50,Greedy_Baseline,0.0006604194641113281,1.2513922741332686
50,Hybrid_Full,0.004161969991400838,1.09139448086366
50,Hybrid_NoLS,0.0036034979857504368,1.2031359412212146
50,Hybrid_Trials20,0.004990748013369739,1.09139448086366
50,Hybrid_LP_Skip,0.0005066859885118902,1.91999833394977
50,Hybrid_PD_Fast,0.00028907303931191564,1.1842433627470041
50,Hybrid_PD_Balanced,0.0005846809945069253,1.1458632909595112
100,Greedy_Baseline,0.0018532276153564453,1.3408024476822566
100,Hybrid_Full,0.0077063849894329906,1.1834442756703911
100,Hybrid_NoLS,0.008731508976779878,1.1075841833508333
100,Hybrid_Trials20,0.010212675959337503,1.1420340135792857
100,Hybrid_LP_Skip,0.0021103379549458623,1.983286759343971
100,Hybrid_PD_Fast,0.0007386109791696072,1.2749639652779523
100,Hybrid_PD_Balanced,0.0016454880242235959,1.1075841833508333
100,Greedy_Baseline,0.002269268035888672,1.2748837470214112
100,Hybrid_Full,0.00969875999726355,1.2276070490271933
100,Hybrid_NoLS,0.00890676595736295,1.2263061431051614
100,Hybrid_Trials20,0.012954350037034601,1.1558016780991025
100,Hybrid_LP_Skip,0.0017763630021363497,2.218582650969823
100,Hybrid_PD_Fast,0.0007776460261084139,1.4634033451309558
100,Hybrid_PD_Balanced,0.0017900789971463382,1.1558016780991025
100,Greedy_Baseline,0.0017917156219482422,1.2923828966641144
100,Hybrid_Full,0.012653384997975081,1.1619470224189257
100,Hybrid_NoLS,0.009905106970109046,1.2119723709200914
100,Hybrid_Trials20,0.013387244020123035,1.1948694862933007
100,Hybrid_LP_Skip,0.0018450990319252014,2.416220440678959
100,Hybrid_PD_Fast,0.0007458050386048853,1.261123508530296
100,Hybrid_PD_Balanced,0.0015915959957055748,1.2133073616442798
100,Greedy_Baseline,0.001621246337890625,1.1691973831151514
100,Hybrid_Full,0.007853489019908011,1.1691973831151514
100,Hybrid_NoLS,0.008240055991336703,1.3183985232330504
100,Hybrid_Trials20,0.011822836997453123,1.1920798441285854
100,Hybrid_LP_Skip,0.002111865032929927,1.7784140201153344
100,Hybrid_PD_Fast,0.0007303240126930177,1.5165091061672176
100,Hybrid_PD_Balanced,0.00155171804362908,1.1691973831151514
100,Greedy_Baseline,0.0018024444580078125,1.345696289236365
100,Hybrid_Full,0.009640850010327995,1.3561221104468286
100,Hybrid_NoLS,0.00899007503176108,1.3529673407726595
100,Hybrid_Trials20,0.013285488996189088,1.2715644971550886
100,Hybrid_LP_Skip,0.0020203570020385087,1.5419930460713906
100,Hybrid_PD_Fast,0.000768941012211144,1.6418240366694978
100,Hybrid_PD_Balanced,0.0020094499923288822,1.288466254391173
100,Greedy_Baseline,0.0018458366394042969,1.4751571652064575
100,Hybrid_Full,0.009107296005822718,1.2672404044888979
100,Hybrid_NoLS,0.008923495013732463,1.2203678913148868
100,Hybrid_Trials20,0.014480205019935966,1.303329675062559
100,Hybrid_LP_Skip,0.0022099950001575053,1.8048303862366544
100,Hybrid_PD_Fast,0.00114442000631243,1.4350512211497093
